Key,en,es,ar,fr,hi
Stripe Issuing Balance,Stripe Issuing Balance,Saldo emisor de Stripe,رصيد إصدار الشريط,Solde d'émission Stripe,स्ट्राइप जारी करने वाला बैलेंस
Sudo Balance,Sudo Balance,Saldo de Sudo,توازن سودو,Sudo Balance,सुडो बैलेंस
Strowallet Balance,Strowallet Balance,Equilibrio de la carretilla,رصيد المحفظة,Solde du portefeuille Strowallet,स्ट्रोवॉलेट बैलेंस
LIVE TIME SUPERADMIN PROFITS BALANCE,LIVE TIME SUPERADMIN PROFITS BALANCE,SALDO DE GANANCIAS DEL SUPERADMINISTRADOR EN TIEMPO VIVO,رصيد أرباح المشرف المتميز في الوقت المباشر,SOLDE DES PROFITS SUPERADMIN EN TEMPS RÉEL,लाइव टाइम सुपरएडमिन लाभ शेष
Monthly Add Money Chart,Monthly Add Money Chart,Tabla de adición de dinero mensual,مخطط إضافة الأموال شهريًا,Tableau des ajouts mensuels d'argent,मासिक धन जोड़ें चार्ट
View,View,Vista,منظر,Voir,देखना
Monthly Virtual Card Chart,Monthly Virtual Card Chart,Tabla mensual de tarjetas virtuales,مخطط البطاقة الافتراضية الشهري,Tableau mensuel des cartes virtuelles,मासिक वर्चुअल कार्ड चार्ट
User Analytics,User Analytics,Análisis de usuarios,تحليلات المستخدم,Analyse des utilisateurs,उपयोगकर्ता विश्लेषिकी
View Users,View Users,Ver usuarios,عرض المستخدمين,Afficher les utilisateurs,उपयोगकर्ता देखें
Merchant Analytics,Merchant Analytics,Análisis de comerciantes,تحليلات التجار,Analyse des marchands,व्यापारी विश्लेषिकी
View Merchants,View Merchants,Ver comerciantes,عرض التجار,Voir les marchands,व्यापारियों को देखें
Latest Add Money,Latest Add Money,Último dinero añadido,أحدث إضافة أموال,Dernier ajout d'argent,नवीनतम धन जोड़ें
success,Success,Éxito,نجاح,Succès,सफलता
Successfully updated password. Please login,Successfully updated password. Please login,Contraseña actualizada correctamente. Inicia sesión.,تم تحديث كلمة المرور بنجاح. يُرجى تسجيل الدخول.,Mot de passe mis à jour avec succès. Veuillez vous connecter.,पासवर्ड सफलतापूर्वक अपडेट किया गया। कृपया लॉगिन करें
Complete Logs,Complete Logs,Registros completos,السجلات الكاملة,Journaux complets,पूर्ण लॉग
Add money details for,Add money details for,Agregar detalles de dinero para,أضف تفاصيل الأموال لـ,Ajouter des détails financiers pour,इसके लिए धन विवरण जोड़ें
Add Money request approved successfully,Add Money request approved successfully,Solicitud de agregar dinero aprobada exitosamente,تمت الموافقة على طلب إضافة الأموال بنجاح,Demande d'ajout d'argent approuvée avec succès,धन जोड़ने का अनुरोध सफलतापूर्वक स्वीकृत हुआ
Add Money request rejected successfully,Add Money request rejected successfully,Solicitud de agregar dinero rechazada exitosamente,تم رفض طلب إضافة الأموال بنجاح,Demande d'ajout d'argent rejetée avec succès,धन जोड़ने का अनुरोध सफलतापूर्वक अस्वीकार कर दिया गया
error,error,error,خطأ,erreur,गलती
Ops! Failed to send mail. Please recheck your mail credentials or reconfigure mail,Ops! Failed to send mail. Please recheck your mail credentials or reconfigure mail,"¡Uy! Error al enviar el correo. Por favor, vuelva a verificar sus credenciales de correo o reconfigure el correo.",يا للأسف! فشل إرسال البريد. يُرجى إعادة التحقق من بيانات اعتماد بريدك الإلكتروني أو إعادة ضبط إعداداته.,Oups ! Échec de l'envoi du mail. Veuillez revérifier vos identifiants de messagerie ou reconfigurer votre messagerie.,ओह! मेल भेजने में विफल। कृपया अपने मेल क्रेडेंशियल दोबारा जांचें या मेल पुनः कॉन्फ़िगर करें
Email send successfully!,Email send successfully!,¡El correo electrónico se envió exitosamente!,تم إرسال البريد الإلكتروني بنجاح!,L'e-mail a été envoyé avec succès !,ईमेल सफलतापूर्वक भेजा गया!
Role assign failed!,Role assign failed!,¡Error en la asignación de rol!,فشل تعيين الدور!,L'attribution des rôles a échoué !,भूमिका असाइन करना विफल!
New admin created successfully!,New admin created successfully!,¡Nuevo administrador creado exitosamente!,تم إنشاء المشرف الجديد بنجاح!,Nouvel administrateur créé avec succès !,नया एडमिन सफलतापूर्वक बनाया गया!
warning,warning,advertencia,تحذير,avertissement,चेतावनी
Ops! Target admin not found!,Ops! Target admin not found!,¡Ups! ¡Administrador objetivo no encontrado!,اوبس! لم يتم العثور على المسؤول المستهدف!,Oups ! Administrateur cible introuvable !,ओह! लक्ष्य व्यवस्थापक नहीं मिला!
Failed to assign role.,Failed to assign role.,No se pudo asignar el rol.,فشل في تعيين الدور.,Échec de l'attribution du rôle.,भूमिका निर्दिष्ट करने में विफल.
Admin information updated successfully!,Admin information updated successfully!,¡Información de administrador actualizada exitosamente!,تم تحديث معلومات المسؤول بنجاح!,Les informations d'administration ont été mises à jour avec succès !,व्यवस्थापक जानकारी सफलतापूर्वक अद्यतन!
Admin Roles,Admin Roles,Roles de administrador,أدوار المسؤول,Rôles d'administrateur,व्यवस्थापक भूमिकाएँ
Admin not found!,Admin not found!,¡Admin no encontrado!,لم يتم العثور على المسؤول!,Administrateur non trouvé !,व्यवस्थापक नहीं मिला!
Admin status updated successfully!,Admin status updated successfully!,¡El estado de administrador se actualizó correctamente!,تم تحديث حالة المسؤول بنجاح!,Le statut de l'administrateur a été mis à jour avec succès !,व्यवस्थापक स्थिति सफलतापूर्वक अद्यतन!
Admin role created successfully!,Admin role created successfully!,¡El rol de administrador se creó exitosamente!,تم إنشاء دور المسؤول بنجاح!,Rôle d'administrateur créé avec succès !,व्यवस्थापक भूमिका सफलतापूर्वक बनाई गई!
Ops! Target not found!,Ops! Target not found!,¡Ops! ¡Objetivo no encontrado!,اوبس! لم يتم العثور على الهدف!,Oups ! Cible non trouvée !,ओह! लक्ष्य नहीं मिला!
Ops! Target role not found!,Ops! Target role not found!,¡Ops! ¡No se encontró el rol objetivo!,أوبس! لم يتم العثور على الدور المستهدف!,Oups ! Rôle cible introuvable !,ओह! लक्ष्य भूमिका नहीं मिली!
Admin role updated successfully!,Admin role updated successfully!,¡El rol de administrador se actualizó exitosamente!,تم تحديث دور المسؤول بنجاح!,Le rôle d'administrateur a été mis à jour avec succès !,व्यवस्थापक भूमिका सफलतापूर्वक अपडेट की गई!
Super admin role can,Super admin role can,El rol de superadministrador puede,يمكن أن يكون دور المشرف الأعلى,Le rôle de super administrateur peut,सुपर एडमिन की भूमिका
Admin role deleted successfully!,Admin role deleted successfully!,¡El rol de administrador se eliminó exitosamente!,تم حذف دور المسؤول بنجاح!,Le rôle d'administrateur a été supprimé avec succès !,व्यवस्थापक भूमिका सफलतापूर्वक हटा दी गई!
Permission Group,Permission Group,Grupo de permisos,مجموعة الأذونات,Groupe d'autorisations,अनुमति समूह
Permission created successfully!,Permission created successfully!,¡Permiso creado exitosamente!,تم إنشاء الإذن بنجاح!,Permission créée avec succès !,अनुमति सफलतापूर्वक बनाई गई!
Target not found!,Target not found!,¡Objetivo no encontrado!,لم يتم العثور على الهدف!,Cible non trouvée !,लक्ष्य नहीं मिला!
Permission not found!,Permission not found!,¡Permiso no encontrado!,لم يتم العثور على الإذن!,Permission non trouvée !,अनुमति नहीं मिली!
Permission updated successfully!,Permission updated successfully!,¡Permiso actualizado exitosamente!,تم تحديث الإذن بنجاح!,Permission mise à jour avec succès !,अनुमति सफलतापूर्वक अपडेट की गई!
Permission deleted successfully!,Permission deleted successfully!,¡Permiso eliminado exitosamente!,تم حذف الإذن بنجاح!,L'autorisation a été supprimée avec succès !,अनुमति सफलतापूर्वक हटा दी गई!
Role permission not found!,Role permission not found!,¡No se encontró el permiso del rol!,لم يتم العثور على إذن الدور!,Autorisation de rôle non trouvée !,भूमिका अनुमति नहीं मिली!
Permission assign successfully!,Permission assign successfully!,¡Permiso asignado exitosamente!,تم تعيين الإذن بنجاح!,L'autorisation a été attribuée avec succès !,अनुमति सफलतापूर्वक आवंटित!
Admin deleted successfully!,Admin deleted successfully!,¡Administrador eliminado exitosamente!,تم الحذف بواسطة المسؤول بنجاح!,L'administrateur a été supprimé avec succès !,व्यवस्थापक सफलतापूर्वक हटा दिया गया!
Active Agent,Active Agent,Agente activo,العامل النشط,Agent actif,सक्रिय एजेंट
Email Unverified Agents,Email Unverified Agents,Enviar correos electrónicos a agentes no verificados,البريد الإلكتروني للوكلاء غير الموثوقين,Envoyer un e-mail aux agents non vérifiés,असत्यापित एजेंटों को ईमेल करें
KYC Unverified Agents,KYC Unverified Agents,Agentes no verificados de KYC,وكلاء KYC غير المعتمدين,Agents KYC non vérifiés,केवाईसी असत्यापित एजेंट
Agent Details,Agent Details,Detalles del agente,تفاصيل الوكيل,Détails de l'agent,एजेंट विवरण
Ops! Agent not exists,Ops! Agent not exists,¡Ops! El agente no existe,أوبس! العميل غير موجود,Oups ! L'agent n'existe pas,ओह! एजेंट मौजूद नहीं है
Profile Information Updated Successfully!,Profile Information Updated Successfully!,¡Información del perfil actualizada exitosamente!,تم تحديث معلومات الملف الشخصي بنجاح!,Informations de profil mises à jour avec succès !,प्रोफ़ाइल जानकारी सफलतापूर्वक अपडेट की गई!
KYC Profile,KYC Profile,Perfil KYC,ملف KYC,Profil KYC,केवाईसी प्रोफ़ाइल
Agent KYC information not found,Agent KYC information not found,No se encontró información del agente KYC,لم يتم العثور على معلومات KYC الخاصة بالوكيل,Informations KYC de l'agent non trouvées,एजेंट की KYC जानकारी नहीं मिली
Agent KYC successfully approved,Agent KYC successfully approved,El agente KYC fue aprobado exitosamente,تمت الموافقة على وكيل KYC بنجاح,Agent KYC approuvé avec succès,एजेंट KYC सफलतापूर्वक स्वीकृत
Agent doesn,Agent doesn,El agente no,الوكيل لا,Agent non,एजेंट नहीं करता
Agent KYC information is rejected,Agent KYC information is rejected,La información KYC del agente es rechazada,تم رفض معلومات KYC الخاصة بالوكيل,Les informations KYC de l'agent sont rejetées,एजेंट की KYC जानकारी अस्वीकार कर दी गई है
Mail successfully sended,Mail successfully sended,Correo enviado exitosamente,تم إرسال البريد بنجاح,Courrier envoyé avec succès,मेल सफलतापूर्वक भेजा गया
Ops! Agent doesn,Ops! Agent doesn,¡Ops! El agente no,أوبس! العميل لا,Oups ! Agent,ओह! एजेंट नहीं करता
Agent (Web) Panel Does Not Added Yet,Agent (Web) Panel Does Not Added Yet,El panel del agente (web) aún no se ha agregado,لم تتم إضافة لوحة العميل (الويب) بعد,Le panneau Agent (Web) n'a pas encore été ajouté,एजेंट (वेब) पैनल अभी तक नहीं जोड़ा गया है
Agent do not have sufficient balance,Agent do not have sufficient balance,El agente no tiene saldo suficiente,الوكيل ليس لديه رصيد كاف,L'agent n'a pas de solde suffisant,एजेंट के पास पर्याप्त बैलेंस नहीं है
Update Balance,Update Balance,Actualizar saldo,تحديث الرصيد,Mettre à jour le solde,शेष राशि अपडेट करें
Transaction Failed!,Transaction Failed!,¡Transacción fallida!,فشلت المعاملة!,Transaction échouée !,लेन - देन विफल!
Transaction success,Transaction success,éxito de la transacción,نجاح المعاملة,Succès de la transaction,लेनदेन सफल
Onboard Screen Added Successfully!,Onboard Screen Added Successfully!,¡Pantalla incorporada agregada exitosamente!,تمت إضافة الشاشة الموجودة على متن الطائرة بنجاح!,Écran embarqué ajouté avec succès !,ऑनबोर्ड स्क्रीन सफलतापूर्वक जोड़ दी गई!
Onboard screen not found!,Onboard screen not found!,¡No se encontró la pantalla integrada!,لم يتم العثور على الشاشة الموجودة على متن الطائرة!,Écran embarqué non trouvé !,ऑनबोर्ड स्क्रीन नहीं मिली!
Onboard screen status updated successfully!,Onboard screen status updated successfully!,¡El estado de la pantalla a bordo se actualizó correctamente!,تم تحديث حالة الشاشة الموجودة على متن الطائرة بنجاح!,L'état de l'écran embarqué a été mis à jour avec succès !,ऑनबोर्ड स्क्रीन स्थिति सफलतापूर्वक अपडेट की गई!
Onboard screen information updated successfully!,Onboard screen information updated successfully!,¡La información de la pantalla a bordo se actualizó exitosamente!,تم تحديث معلومات الشاشة الموجودة على متن الطائرة بنجاح!,Les informations de l'écran embarqué ont été mises à jour avec succès !,ऑनबोर्ड स्क्रीन जानकारी सफलतापूर्वक अपडेट की गई!
Screen deleted successfully!,Screen deleted successfully!,¡Pantalla eliminada exitosamente!,تم حذف الشاشة بنجاح!,Écran supprimé avec succès !,स्क्रीन सफलतापूर्वक हटा दी गई!
Splash screen updated successfully!,Splash screen updated successfully!,¡La pantalla de bienvenida se actualizó exitosamente!,تم تحديث شاشة البداية بنجاح!,Écran de démarrage mis à jour avec succès !,स्प्लैश स्क्रीन सफलतापूर्वक अपडेट हो गई!
URL settings updated successfully!,URL settings updated successfully!,¡La configuración de URL se actualizó correctamente!,تم تحديث إعدادات URL بنجاح!,Les paramètres d'URL ont été mis à jour avec succès !,URL सेटिंग सफलतापूर्वक अपडेट हो गई!
Broadcast configuration updated successfully!,Broadcast configuration updated successfully!,¡Configuración de transmisión actualizada exitosamente!,تم تحديث تكوين البث بنجاح!,Configuration de diffusion mise à jour avec succès !,प्रसारण कॉन्फ़िगरेशन सफलतापूर्वक अपडेट किया गया!
All Contact Message,All Contact Message,Todos los mensajes de contacto,جميع رسائل الاتصال,Tous les messages de contact,सभी संपर्क संदेश
Contact Message delete successfully!,Contact Message delete successfully!,¡Mensaje de contacto eliminado exitosamente!,تم حذف رسالة الاتصال بنجاح!,Message de contact supprimé avec succès !,संपर्क संदेश सफलतापूर्वक हटा दिया गया!
Cookie information updated successfully!,Cookie information updated successfully!,¡Información de cookies actualizada exitosamente!,تم تحديث معلومات ملفات تعريف الارتباط بنجاح!,Informations sur les cookies mises à jour avec succès !,कुकी जानकारी सफलतापूर्वक अपडेट की गई!
Crypto Assets,Crypto Assets,Activos criptográficos,الأصول المشفرة,Crypto-actifs,क्रिप्टो संपत्तियां
Wallet generated successfully!,Wallet generated successfully!,¡Billetera generada exitosamente!,تم إنشاء المحفظة بنجاح!,Portefeuille généré avec succès !,वॉलेट सफलतापूर्वक तैयार हो गया!
Balance Updated Successfully!,Balance Updated Successfully!,¡Saldo actualizado exitosamente!,تم تحديث الرصيد بنجاح!,Solde mis à jour avec succès !,शेष राशि सफलतापूर्वक अपडेट की गई!
Wallet Added Successfully!,Wallet Added Successfully!,¡Billetera agregada exitosamente!,تمت إضافة المحفظة بنجاح!,Portefeuille ajouté avec succès !,वॉलेट सफलतापूर्वक जोड़ा गया!
Wallet Address Deleted Successfully!,Wallet Address Deleted Successfully!,¡Dirección de billetera eliminada exitosamente!,تم حذف عنوان المحفظة بنجاح!,L'adresse du portefeuille a été supprimée avec succès !,वॉलेट पता सफलतापूर्वक हटा दिया गया!
Wallet Information not found!,Wallet Information not found!,¡No se encontró información de la billetera!,لم يتم العثور على معلومات المحفظة!,Informations sur le portefeuille non trouvées !,वॉलेट जानकारी नहीं मिली!
Wallet Status Changed Successfully!,Wallet Status Changed Successfully!,¡El estado de la billetera se cambió exitosamente!,تم تغيير حالة المحفظة بنجاح!,Le statut du portefeuille a été modifié avec succès !,वॉलेट स्थिति सफलतापूर्वक बदल दी गई!
Crypto Asset Not Found!,Crypto Asset Not Found!,¡Activo criptográfico no encontrado!,لم يتم العثور على الأصول المشفرة!,Actif cryptographique non trouvé !,क्रिप्टो एसेट नहीं मिला!
Default currency make failed! Please try again.,Default currency make failed! Please try again.,¡Error al crear la moneda predeterminada! Inténtalo de nuevo.,فشل إنشاء العملة الافتراضية! يُرجى المحاولة مرة أخرى.,Échec de la création de la devise par défaut ! Veuillez réessayer.,डिफ़ॉल्ट मुद्रा बनाना विफल! कृपया पुनः प्रयास करें।
Currency Saved Successfully!,Currency Saved Successfully!,¡Moneda guardada exitosamente!,تم حفظ العملة بنجاح!,Devise enregistrée avec succès !,मुद्रा सफलतापूर्वक सहेजी गई!
Currency record not found in our system.,Currency record not found in our system.,Registro de moneda no encontrado en nuestro sistema.,لم يتم العثور على سجل العملة في نظامنا.,Enregistrement de devise non trouvé dans notre système.,हमारे सिस्टम में मुद्रा रिकॉर्ड नहीं मिला.
Currency status updated successfully!,Currency status updated successfully!,¡Estado de la moneda actualizado exitosamente!,تم تحديث حالة العملة بنجاح!,Le statut de la devise a été mis à jour avec succès !,मुद्रा स्थिति सफलतापूर्वक अपडेट की गई!
Currency not found!,Currency not found!,¡Moneda no encontrada!,لم يتم العثور على العملة!,Devise non trouvée !,मुद्रा नहीं मिली!
Image file upload failed!,Image file upload failed!,¡Error al cargar el archivo de imagen!,فشل تحميل ملف الصورة!,Le téléchargement du fichier image a échoué !,छवि फ़ाइल अपलोड विफल!
Successfully updated the information.,Successfully updated the information.,La información se actualizó exitosamente.,تم تحديث المعلومات بنجاح.,Les informations ont été mises à jour avec succès.,जानकारी सफलतापूर्वक अद्यतन की गई.
Currency deleted successfully!,Currency deleted successfully!,¡Moneda eliminada exitosamente!,تم حذف العملة بنجاح!,Devise supprimée avec succès !,मुद्रा सफलतापूर्वक हटा दी गई!
Extension has been updated successfully,Extension has been updated successfully,La extensión se ha actualizado correctamente,تم تحديث الامتداد بنجاح,L'extension a été mise à jour avec succès,एक्सटेंशन सफलतापूर्वक अपडेट कर दिया गया है
Extension is not found!,Extension is not found!,¡No se encontró la extensión!,لم يتم العثور على الامتداد!,L'extension n'est pas trouvée !,एक्सटेंशन नहीं मिला!
Extension status is updated successfully!,Extension status is updated successfully!,¡El estado de la extensión se actualizó correctamente!,تم تحديث حالة التمديد بنجاح!,Le statut de l'extension a été mis à jour avec succès !,एक्सटेंशन स्थिति सफलतापूर्वक अपडेट हो गई है!
Stripe Api Key Updated Successful,Stripe Api Key Updated Successful,Clave API de Stripe actualizada correctamente,تم تحديث مفتاح API الخاص بـ Stripe بنجاح,Mise à jour réussie de la clé API Stripe,स्ट्राइप एपीआई कुंजी अपडेट सफलतापूर्वक हुई
Language updated successfully!,Language updated successfully!,¡Idioma actualizado exitosamente!,تم تحديث اللغة بنجاح!,Langue mise à jour avec succès !,भाषा सफलतापूर्वक अपडेट हो गई!
File remove failed!,File remove failed!,¡Error al eliminar el archivo!,فشل إزالة الملف!,La suppression du fichier a échoué !,फ़ाइल हटाना विफल!
Language deleted successfully!,Language deleted successfully!,¡Idioma eliminado exitosamente!,تم حذف اللغة بنجاح!,Langue supprimée avec succès !,भाषा सफलतापूर्वक हटा दी गई!
Please deselect your default language first.,Please deselect your default language first.,Primero deseleccione su idioma predeterminado.,يرجى إلغاء تحديد اللغة الافتراضية الخاصة بك أولاً.,Veuillez d'abord désélectionner votre langue par défaut.,कृपया पहले अपनी डिफ़ॉल्ट भाषा का चयन रद्द करें.
Language status updated successfully!,Language status updated successfully!,¡Estado del idioma actualizado exitosamente!,تم تحديث حالة اللغة بنجاح!,Le statut de la langue a été mis à jour avec succès !,भाषा स्थिति सफलतापूर्वक अपडेट की गई!
Sorry! Language not found!,Sorry! Language not found!,¡Lo siento! ¡No se encontró el idioma!,عذرا! لم يتم العثور على اللغة!,Désolé! Langue non trouvée!,क्षमा करें! भाषा नहीं मिली!
Failed to store new file.,Failed to store new file.,No se pudo almacenar el nuevo archivo.,فشل في تخزين الملف الجديد.,Échec du stockage du nouveau fichier.,नई फ़ाइल संग्रहीत करने में विफल.
Oops! Language not found!,Oops! Language not found!,¡Ups! ¡No se encontró el idioma!,عفواً! لم يتم العثور على اللغة!,Oups ! Langue introuvable !,ओह! भाषा नहीं मिली!
Language switch successfully!,Language switch successfully!,¡Cambio de idioma exitoso!,تم تبديل اللغة بنجاح!,Changement de langue réussi !,भाषा स्विच सफलतापूर्वक!
File does not exists.,File does not exists.,El archivo no existe.,الملف غير موجود.,Le fichier n'existe pas.,फ़ाइल मौजूद नहीं है.
Email Unverified Merchants,Email Unverified Merchants,Enviar correos electrónicos a comerciantes no verificados,البريد الإلكتروني للتجار غير الموثقين,Envoyer un e-mail aux commerçants non vérifiés,असत्यापित व्यापारियों को ईमेल करें
SMS Unverified Merchants,SMS Unverified Merchants,Comerciantes no verificados por SMS,التجار غير المعتمدين عبر الرسائل النصية القصيرة,SMS Marchands non vérifiés,एसएमएस असत्यापित व्यापारी
KYC Unverified Merchants,KYC Unverified Merchants,Comerciantes no verificados con KYC,التجار غير المعتمدين من KYC,Commerçants non vérifiés KYC,केवाईसी असत्यापित व्यापारी
Merchants Details,Merchants Details,Detalles de los comerciantes,تفاصيل التجار,Détails des commerçants,व्यापारियों का विवरण
Oops! Merchant not exists,Oops! Merchant not exists,¡Uy! El comerciante no existe.,عفواً! التاجر غير موجود,Oups ! Le marchand n'existe pas.,उफ़! व्यापारी मौजूद नहीं है
Oops! Merchant doesn,Oops! Merchant doesn,¡Ups! El comerciante no,عفواً! التاجر لا,Oups ! Le marchand ne,उफ़! व्यापारी नहीं
Merchants KYC successfully approved,Merchants KYC successfully approved,KYC para comerciantes aprobado exitosamente,تمت الموافقة على KYC للتجار بنجاح,Les commerçants KYC ont été approuvés avec succès,व्यापारियों का KYC सफलतापूर्वक स्वीकृत हुआ
Merchant doesn,Merchant doesn,El comerciante no,التاجر لا,Le marchand ne,व्यापारी नहीं करता
Merchant KYC information not found,Merchant KYC information not found,No se encontró información KYC del comerciante,لم يتم العثور على معلومات KYC للتاجر,Informations KYC du commerçant introuvables,व्यापारी की KYC जानकारी नहीं मिली
Merchant KYC information is rejected,Merchant KYC information is rejected,La información KYC del comerciante es rechazada,تم رفض معلومات KYC الخاصة بالتاجر,Les informations KYC du commerçant sont rejetées,व्यापारी की KYC जानकारी अस्वीकृत कर दी गई है
Merchant Email Logs,Merchant Email Logs,Registros de correo electrónico del comerciante,سجلات البريد الإلكتروني للتاجر,Journaux de courrier électronique des commerçants,व्यापारी ईमेल लॉग
Login Logs,Login Logs,Registros de inicio de sesión,سجلات تسجيل الدخول,Journaux de connexion,लॉगिन लॉग
Merchant wallet not found!,Merchant wallet not found!,¡No se encontró la billetera del comerciante!,لم يتم العثور على محفظة التاجر!,Portefeuille marchand introuvable !,व्यापारी बटुआ नहीं मिला!
Merchant do not have sufficient balance,Merchant do not have sufficient balance,El comerciante no tiene saldo suficiente,التاجر ليس لديه رصيد كاف,Le commerçant n'a pas de solde suffisant,व्यापारी के पास पर्याप्त शेष राशि नहीं है
Setup Module Settings,Setup Module Settings,Configuración del módulo,إعدادات وحدة الإعداد,Paramètres du module de configuration,सेटअप मॉड्यूल सेटिंग्स
Module not found!,Module not found!,¡Módulo no encontrado!,لم يتم العثور على الوحدة!,Module non trouvé !,मॉड्यूल नहीं मिला!
Module status updated successfully!,Module status updated successfully!,¡El estado del módulo se actualizó correctamente!,تم تحديث حالة الوحدة بنجاح!,Le statut du module a été mis à jour avec succès !,मॉड्यूल स्थिति सफलतापूर्वक अद्यतन!
Money out details for,Money out details for,Detalles de retiro de dinero para,تفاصيل صرف الأموال,Détails des sorties d'argent pour,पैसे निकालने का विवरण
Money Out request approved successfully,Money Out request approved successfully,Solicitud de retiro de dinero aprobada exitosamente,تمت الموافقة على طلب صرف الأموال بنجاح,Demande de retrait d'argent approuvée avec succès,धन निकासी अनुरोध सफलतापूर्वक स्वीकृत हुआ
Money Out request rejected successfully,Money Out request rejected successfully,Solicitud de retiro de dinero rechazada exitosamente,تم رفض طلب سحب الأموال بنجاح,Demande de retrait d'argent rejetée avec succès,पैसे निकालने का अनुरोध सफलतापूर्वक अस्वीकार कर दिया गया
Newsletter Section,Newsletter Section,Sección de boletines informativos,قسم النشرة الإخبارية,Section Newsletter,न्यूज़लेटर अनुभाग
Selected payment newsletter is invalid!,Selected payment newsletter is invalid!,¡El boletín de pago seleccionado no es válido!,نشرة الدفع المحددة غير صالحة!,La newsletter de paiement sélectionnée n'est pas valide !,चयनित भुगतान न्यूज़लेटर अमान्य है!
Newsletter deleted successfully!,Newsletter deleted successfully!,¡Boletín eliminado exitosamente!,تم حذف النشرة الإخبارية بنجاح!,Newsletter supprimée avec succès !,न्यूज़लेटर सफलतापूर्वक हटा दिया गया!
Payment gateway currency not found!,Payment gateway currency not found!,¡No se encontró la moneda de la pasarela de pago!,لم يتم العثور على عملة بوابة الدفع!,Devise de la passerelle de paiement non trouvée !,भुगतान गेटवे मुद्रा नहीं मिली!
Payment gateway currency deleted successfully!,Payment gateway currency deleted successfully!,¡La moneda de la pasarela de pago se eliminó correctamente!,تم حذف عملة بوابة الدفع بنجاح!,La devise de la passerelle de paiement a été supprimée avec succès !,भुगतान गेटवे मुद्रा सफलतापूर्वक हटा दी गई!
Automatic Add Money,Automatic Add Money,Añadir dinero automáticamente,إضافة الأموال تلقائيًا,Ajout automatique d'argent,स्वचालित रूप से धन जोड़ें
Manual Add Money,Manual Add Money,Agregar dinero manualmente,إضافة الأموال يدويًا,Ajout manuel d'argent,मैन्युअल रूप से पैसा जोड़ें
Automatic Money Out,Automatic Money Out,Retiro automático de dinero,صرف الأموال تلقائيًا,Retrait automatique d'argent,स्वचालित धन निकासी
Manual Add Money Edit,Manual Add Money Edit,Agregar dinero manualmente y editar,تعديل إضافة الأموال يدويًا,Modification manuelle de l'ajout d'argent,मैन्युअल रूप से पैसे जोड़ें संपादित करें
Money Out Edit,Money Out Edit,Dinero fuera Editar,تحرير الأموال الخارجة,Édition de sortie d'argent,पैसा बाहर संपादित करें
Payment gateway added successfully!,Payment gateway added successfully!,¡Pasarela de pago agregada exitosamente!,تمت إضافة بوابة الدفع بنجاح!,La passerelle de paiement a été ajoutée avec succès !,भुगतान गेटवे सफलतापूर्वक जोड़ा गया!
Payment gateway status updated successfully!,Payment gateway status updated successfully!,¡El estado de la pasarela de pago se actualizó correctamente!,تم تحديث حالة بوابة الدفع بنجاح!,Le statut de la passerelle de paiement a été mis à jour avec succès !,भुगतान गेटवे स्थिति सफलतापूर्वक अपडेट की गई!
Selected payment gateway is invalid!,Selected payment gateway is invalid!,¡El portal de pago seleccionado no es válido!,بوابة الدفع المحددة غير صالحة!,La passerelle de paiement sélectionnée n'est pas valide !,चयनित भुगतान गेटवे अमान्य है!
Information updated successfully!,Information updated successfully!,¡Información actualizada exitosamente!,تم تحديث المعلومات بنجاح!,Informations mises à jour avec succès !,जानकारी सफलतापूर्वक अपडेट की गई!
Image upload failed! Please try again.,Image upload failed! Please try again.,¡Error al cargar la imagen! Inténtalo de nuevo.,فشل تحميل الصورة! يُرجى المحاولة مرة أخرى.,Échec du téléchargement de l'image ! Veuillez réessayer.,चित्र अपलोड विफल! कृपया पुनः प्रयास करें।
Oops! Payment gateway not found!,Oops! Payment gateway not found!,¡Ups! ¡No se encontró la pasarela de pago!,عفواً! لم يتم العثور على بوابة الدفع!,Oups ! Passerelle de paiement introuvable !,ओह! भुगतान गेटवे नहीं मिला!
Money Out Add,Money Out Add,Saldo de dinero Agregar,إضافة أموال خارجة,Ajouter de l'argent en sortie,पैसा बाहर जोड़ें
The gateway name has already been taken.,The gateway name has already been taken.,El nombre de la puerta de enlace ya está tomado.,لقد تم أخذ اسم البوابة بالفعل.,Le nom de la passerelle a déjà été pris.,गेटवे का नाम पहले ही ले लिया गया है।
Payment gateway deleted successfully!,Payment gateway deleted successfully!,¡La pasarela de pago se eliminó correctamente!,تم حذف بوابة الدفع بنجاح!,La passerelle de paiement a été supprimée avec succès !,भुगतान गेटवे सफलतापूर्वक हटा दिया गया!
Payment Link details,Payment Link details,Detalles del enlace de pago,تفاصيل رابط الدفع,Détails du lien de paiement,भुगतान लिंक विवरण
Password updated successfully!,Password updated successfully!,¡Contraseña actualizada exitosamente!,تم تحديث كلمة المرور بنجاح!,Mot de passe mis à jour avec succès !,पासवर्ड सफलतापूर्वक अद्यतन!
All Profits Logs,All Profits Logs,Todos los registros de ganancias,جميع سجلات الأرباح,Tous les journaux de bénéfices,सभी लाभ लॉग
